INDEX,이름,평균,1단원,2단원,3단원,4단원
S01,수강생01,88.0,82,90,91,89
S02,수강생02,77.5,79,,,76
S03,수강생03,82.5,70,73,93,94
S04,수강생04,76.0,93,65,76,70
S05,수강생05,78.0,74,92,74,72
S06,수강생06,77.8,85,74,91,61
S07,수강생07,78.2,77,72,82,82
S08,수강생08,82.0,83,,,81
S09,수강생09,92.5,99,99,90,82
S10,수강생10,68.8,65,67,72,71
S11,수강생11,80.0,100,85,65,70
S12,수강생12,79.2,61,89,69,98
S13,수강생13,75.8,82,95,60,66
S14,수강생14,71.0,68,72,73,
S15,수강생15,87.8,92,97,94,68
S16,수강생16,91.3,,89,93,92
S17,수강생17,67.5,69,61,71,69
S18,수강생18,82.5,90,67,80,93
S19,수강생19,68.7,66,63,77,
S20,수강생20,74.7,,61,64,99
S21,수강생21,90.2,98,77,94,92
S22,수강생22,77.2,93,76,72,68
S23,수강생23,78.7,85,64,87,
